ligand_id,smiles,pdbqt_path
CHEMBL472004,O=S(=O)(O)c1ccc2cc(/N=N/c3cc(S(=O)(=O)O)c4cccnc4c3O)ccc2c1,data/demo\ligands_pdbqt_demo\CHEMBL472004.pdbqt
CHEMBL392695,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,data/demo\ligands_pdbqt_demo\CHEMBL392695.pdbqt
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,data/demo\ligands_pdbqt_demo\CHEMBL34259.pdbqt
CHEMBL2137530,c1ccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c2c1,data/demo\ligands_pdbqt_demo\CHEMBL2137530.pdbqt
CHEMBL521686,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,data/demo\ligands_pdbqt_demo\CHEMBL521686.pdbqt
CHEMBL96926,C/C=C(/C)C(=O)O[C@H]1C(C)=C2[C@H]([C@@H]1OC(=O)CCCCCCC)[C@@](C)(OC(C)=O)C[C@H](OC(=O)CCC)[C@@]1(O)[C@H]2OC(=O)[C@@]1(C)O,data/demo\ligands_pdbqt_demo\CHEMBL96926.pdbqt
CHEMBL1171837,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,data/demo\ligands_pdbqt_demo\CHEMBL1171837.pdbqt
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,data/demo\ligands_pdbqt_demo\CHEMBL939.pdbqt
CHEMBL2165191,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,data/demo\ligands_pdbqt_demo\CHEMBL2165191.pdbqt
CHEMBL1079175,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,data/demo\ligands_pdbqt_demo\CHEMBL1079175.pdbqt
